name;hash;reboot_date;reboot_time;ip;or_port;fast;running;stable;v2dir;valid;exit;guard;hsdir;badexit;staledesc;authority
CloudOasis;Bj0j7Wplzcy/iiqMwjCwnDTwH88;2022-08-06;06:53:33;104.200.17.42;443;True;True;True;True;True;False;False;False;False;False;False
lakeshoreCrypto007;BkWoCheQnTP6+1VI6KEPgKs45l4;2022-08-05;22:22:54;45.41.204.203;9001;True;True;True;True;True;False;False;False;False;False;False
WakNETX1;Bkj2lGNs2LnDjSn5oCdl+X7C99E;2022-08-05;15:21:18;185.130.47.82;443;True;True;True;True;True;True;True;True;False;False;False
TheYOSH;Bk0YPTTey4T3LEM1sMJNHolGqbo;2022-08-05;19:51:17;85.146.92.119;9001;True;True;True;True;True;False;True;False;False;False;False
ElectricSheep;BlF2arJ61b96j6jzdFnPxMotI1k;2022-08-06;05:10:34;158.62.185.111;9001;True;True;True;True;True;False;True;True;False;False;False
Raptorist;BlGGNcPMvHDDEfm830w1lrtzbv0;2022-08-06;05:29:52;46.125.65.117;9001;True;True;True;True;True;False;True;False;False;False;False
relayon1153;BmzSxJPk33MAsnMer34xdDMmJZE;2022-08-06;05:06:20;185.220.101.153;11153;True;True;True;True;True;True;False;True;False;False;False
Psyduck;Bm/jxOB6GOpTsoKPdT03iNWNdx0;2022-08-05;17:39:32;102.130.113.42;9001;True;True;True;True;True;False;True;True;False;False;False
paradeiser;BoBOY4PulOg8lFPzmx5STCctbYQ;2022-08-06;00:30:58;109.70.100.7;443;True;True;True;True;True;True;True;True;False;False;False
EntrecotalaPlancha;BpAyDWVJPhglrHCI6VTm7RIFuIk;2022-08-06;03:35:37;82.130.171.95;443;True;True;True;True;True;False;True;True;False;False;False
r;Brvqpvc3WaF5XrRh050qoWjzBdE;2022-08-05;21:10:53;77.68.94.106;9001;True;True;False;True;True;False;False;False;False;False;False
COSMOPOLIS;BtD7nGhg6Nf7meoxCgFnB6+qcc4;2022-08-06;01:50:43;154.57.3.214;9001;True;True;True;True;True;False;False;True;False;False;False
Unnamed;Btd+RhyYFCQ9osYUVUTVuztGtS4;2022-08-06;06:44:49;54.36.112.234;9001;True;True;True;True;True;False;False;True;False;False;False
